Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Senior Accountant,"Aung Gabar Mortor Service Co,.Ltd","Finance, Accounting, Audit",Yangon,Benefits: *Ferry Provide *Uniform *Yearly Bonus,Highlights:- Office Hour: 9:00 AM ~ 5:00 PM - OFF Day: Sun & Public Holidays,Career Opportunities: -Opportunities for promotion -Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/senior-accountant-aung-gabar-mortor-service-co-ltd/95653,33
Admin & HR Manager,"Aung Gabar Mortor Service Co,.Ltd","HR, Training and Recruitment",Yangon,Benefits: *Ferry Provide *Uniform *Yearly Bonus,Highlights:- Office Hour: 9:00 AM ~ 5:00 PM - OFF Day: Sun & Public Holidays,Career Opportunities: -Opportunities for promotion -Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/admin-and-hr-manager-aung-gabar-mortor-service-co-ltd/95652,33
Marketing Event Staff,Thiri Cosmetic Company Limited (Mistine),"Marketing, Media, Creative",Mandalay,"Benefits: - Sat , Sun days & Public Holiday off - Yearly Bonus - Yearly Increment  - Medical Benefit - Social Welfare Benefit",Highlights:-,Career Opportunities: -,06 Feb 2024,https://www.jobnet.com.mm/job/marketing-event-staff-thiri-cosmetic-company-limited-mistine/95651,33
Marketing Supervisor,Good Number One,"Marketing, Media, Creative",Yangon,Benefits: - Ferry - Uniform - Rewards for over performance,Highlights:- Fun working environment - Join an experienced team - Make a different,Career Opportunities: - Training Provided - Learn new skills on the job - Promotion,06 Feb 2024,https://www.jobnet.com.mm/job/marketing-supervisor-good-number-one/95209,33
Secretary,Good Number One,Administrative,Yangon,Benefits: - Rewards for over performance - Ferry Provided - Uniform,Highlights:- Make a difference - Fun Working environment,Career Opportunities: - Learn new skill on the job - Management potential,06 Feb 2024,https://www.jobnet.com.mm/job/secretary-good-number-one/94402,33
Admin Manager,GRAND GUARDIAN NIPPON LIFE INSURANCE,Administrative,Yangon,Benefits: As per company policy,Highlights:Fun Working Environment International Standards,Career Opportunities: Promotion Opportunities Learn new skill on jobs,06 Feb 2024,https://www.jobnet.com.mm/job/admin-manager-grand-guardian-nippon-life-insurance/95648,33
Distribution Center Executive - (Thardukan),Grand Royal Group International,"Logistics, Warehousing, Port",Yangon,Benefits: Rewards for over performance,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/distribution-center-executive-thardukan-grand-royal-group-international/95646,33
Junior Accountant,The Grand Family Dentistry & Dental Implant Center,"Finance, Accounting, Audit",Yangon,Benefits: 2 day off per one week  Meal Lunch  Performance Bonus,Highlights:Fun Working environment  You can made a different,Career Opportunities: Training provided  Learn new skills on the job,06 Feb 2024,https://www.jobnet.com.mm/job/junior-accountant-the-grand-family-dentistry-and-dental-implant-center/95645,33
Assistant Marketing Manager,"Rainbow Bridge Distribution Co., Ltd","Marketing, Media, Creative",Yangon,"Benefits: Bonus, meal & travel allowance and Rewards for over performance",Highlights:International standards,"Career Opportunities: Training provide, learn new skills on the job, promotion opportunities.",06 Feb 2024,https://www.jobnet.com.mm/job/assistant-marketing-manager-rainbow-bridge-distribution-co-ltd/95643,33
Sales Manager (Real Estate),KMA Group of companies,"Sales, Business Development",Yangon,Benefits: Commission Rewards for over performance,Highlights:International Standard Join an experienced team,Career Opportunities: Learn new skills on the job,06 Feb 2024,https://www.jobnet.com.mm/job/sales-manager-real-estate-kma-group-of-companies/94846,33
Marketing Executive,Annam Myanmar,"Marketing, Media, Creative",Yangon,Benefits: * 8 AM to 5 PM * Travel Allowance (or) Ferry Way * Bill Allowance * Yearly Bonus  * Sat & Sun Off * Public Holiday Off,Highlights:* Fun working environment * Join an experienced team,Career Opportunities: * Career growth Opportunities * Training provided,06 Feb 2024,https://www.jobnet.com.mm/job/marketing-executive-annam-myanmar/92619,33
Special Needs Teacher Assistant,Myanmar International School Yangon,"Education, Teaching, Childcare",Mandalay,Benefits: Transportation,Highlights:You can make a difference,Career Opportunities: Possibility for job training,06 Feb 2024,https://www.jobnet.com.mm/job/special-needs-teacher-assistant-myanmar-international-school-yangon/95639,33
Sales Admin,Moe Ah San Trading,"Sales, Business Development",Mandalay,Benefits: Meal or Travel allowance  Reward for over performance,Highlights:Fun working environment  International standards  Make a difference  Join an experienced Team,Career Opportunities: Training Provided  Learn new skills on the job  Promotion Opportunities  Management Potential,06 Feb 2024,https://www.jobnet.com.mm/job/sales-admin-moe-ah-san-trading/95637,33
MEP Engineer (Male / Female ),"Myanmar Ease Net Co., Ltd.","Engineering, Technical, HSE",NayPyiTaw,Benefits: Reward over performance,Highlights:You can make a difference,Career Opportunities: Possibility for job training,06 Feb 2024,https://www.jobnet.com.mm/job/mep-engineer-male-female-myanmar-ease-net-co-ltd/91681,33
Project Manager (Banking Card Operation),KBZ Bank,"Project, Operations Management",Yangon,Benefits: Quartely Bouns Ferry Provide Health Insurance,Highlights:International Standard,Career Opportunities: Learn new skills on the job,06 Feb 2024,https://www.jobnet.com.mm/job/project-manager-banking-card-operation-kbz-bank/95635,33
IT And MIS Manager,"ASA Microfinance (Myanmar) Co.,Ltd","IT Hardware, Software",Yangon,"Benefits: - Base on Knowledge and skill, salary will between 1,500,000 ~ 1,800,000MMK - Festival Bonus - Travel & Monitoring Allowance - Yearly increment",Highlights:- Creative Working Environment - International Standards - Make a difference - Join an experienced team,"Career Opportunities: - Promotion opportunities - Learn new skills & knowledge about MFI - We are international company, you will have a pack full of knowledge.",06 Feb 2024,https://www.jobnet.com.mm/job/it-and-mis-manager-asa-microfinance-myanmar-co-ltd/95634,33
HR Manager,"Sein Phone Myint Trading Co.,Ltd","HR, Training and Recruitment",Yangon,Benefits: Reward for over performance,Highlights:Make a difference,Career Opportunities: Management Potential,06 Feb 2024,https://www.jobnet.com.mm/job/hr-manager-sein-phone-myint-trading-co-ltd/95632,33
Senior System Engineer (IT),"Good Brothers Co.,Ltd","IT Hardware, Software",Yangon,Benefits: *Lunch Provided *Office Hostel Provided *Uniform Provided  *Phone Bill Allowance,Highlights:An awesome company,Career Opportunities: *Training Provided *Learn new skills on the job,06 Feb 2024,https://www.jobnet.com.mm/job/senior-system-engineer-it-good-brothers-co-ltd/95631,33
Account Executive,Stardom School of Yangon,"Finance, Accounting, Audit",Yangon,"Benefits: - Sat,Sun and public holidays off - Attendance bonus -  Yearly increment",Highlights:An awesome company,Career Opportunities: Opportunities for promotion,06 Feb 2024,https://www.jobnet.com.mm/job/account-executive-stardom-school-of-yangon/95630,33
Assistant Accountant (Account Payable),Jardine CM Restaurant Group (Pizza Hut Myanmar),"Finance, Accounting, Audit",Yangon,Benefits: *Travel Allowance *Phone Allowance *OT payments *Rewards for excellent performance,Highlights:*Fun working environment *International Standards *Join an experienced team,Career Opportunities: *Learn new skills on the job *Promotion opportunities,06 Feb 2024,https://www.jobnet.com.mm/job/assistant-accountant-account-payable-jardine-cm-restaurant-group-pizza-hut-myanmar/95629,33
Project Management Officer,KBZ Bank,"Project, Operations Management",Yangon,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/project-management-officer-kbz-bank/95628,33
Driver,OSC Hospital,Administrative,Yangon,Benefits: Overtime Payment Relieving Payment,Highlights:Join a winning team,Career Opportunities: Possibility for job training,06 Feb 2024,https://www.jobnet.com.mm/job/driver-osc-hospital/95627,33
Account Executive,OSC Hospital,"Finance, Accounting, Audit",Yangon,Benefits: Service Year+ Overtime Payment,"Highlights:Good Communication Skill & Interpersonal Skill. Can used Microsoft Word, Excel,Powerpoint.",Career Opportunities: Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/account-executive-osc-hospital/95625,33
Merchandiser (Food/Non-Food/Pharmacy),Capital Diamond Star Group (CDSG),"Sales, Business Development",Yangon,Benefits: -Competitive salary -Performance based annual bonus -Staff Ferry Service -Health Insurance and other allowances,Highlights:-Fun working environment -Join an experienced team -You can make a difference,Career Opportunities: -Career Development -Learning Opportunities -Work promotions,06 Feb 2024,https://www.jobnet.com.mm/job/merchandiser-food-non-food-pharmacy-capital-diamond-star-group-cdsg/95621,33
Coach-Personal Tutor,Wall Street English Myanmar,"Education, Teaching, Childcare",Yangon,Benefits: -Free English -Training Provided,Highlights:-International Working environment,Career Opportunities: -Learn new skills on the job -Promotional opportunities,06 Feb 2024,https://www.jobnet.com.mm/job/coach-personal-tutor-wall-street-english-myanmar/95620,33
Store Keeper,Coca-Cola Pinya Beverages Myanmar,"Logistics, Warehousing, Port",Yangon,Benefits: Transportation Provided,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/store-keeper-coca-cola-pinya-beverages-myanmar/95618,33
Android Developer (Kotlin),Capital Taiyo Life Insurance,"IT Hardware, Software",Yangon,Benefits: Basic Salary + Ferry Allowance,Highlights:Join a winning team,Career Opportunities: Possibility for job training,06 Feb 2024,https://www.jobnet.com.mm/job/android-developer-kotlin-capital-taiyo-life-insurance/95610,34
Senior Quantity Surveyor (Engineer),"Salomon Myanmar Co., Ltd.","Engineering, Technical, HSE",Yangon,Benefits: Yearly Bonus Overtime Payment Rewards for over,Highlights:An awesome company,Career Opportunities: Possibility for job training,06 Feb 2024,https://www.jobnet.com.mm/job/senior-quantity-surveyor-engineer-salomon-myanmar-co-ltd/95607,34
HSSE Executive - Based In Myingyan,Sembcorp Myingyan Power Company Limited,"Engineering, Technical, HSE",Mandalay,Benefits: Renumeration will be according to the expereinces that meets the requirements of the position.,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,06 Feb 2024,https://www.jobnet.com.mm/job/hsse-executive-based-in-myingyan-sembcorp-myingyan-power-company-limited/94805,34
Head Of Capacity & Supply Planning,Coca-Cola Pinya Beverages Myanmar,"Procurement, Supply Chain",Yangon,Benefits: Ferry provided Lunch provided,Highlights:International Standards,Career Opportunities: Opportunities for promotion,06 Feb 2024,https://www.jobnet.com.mm/job/head-of-capacity-and-supply-planning-coca-cola-pinya-beverages-myanmar/95605,34
Product Manager (Citizens Pay),Capital Diamond Star Group (CDSG),"IT Hardware, Software",Yangon,Benefits: Rewards over performance,Highlights:Fun and International working standards,Career Opportunities: Possibility for job training,06 Feb 2024,https://www.jobnet.com.mm/job/product-manager-citizens-pay-capital-diamond-star-group-cdsg/95604,34
Deputy Chief Engineer (Solution Architect),"Global Technology Co., Ltd (GlobalNet)","IT Hardware, Software",Yangon,Benefits: Annual Bonus,Highlights:International Standard,Career Opportunities: Management Potential,06 Feb 2024,https://www.jobnet.com.mm/job/deputy-chief-engineer-solution-architect-global-technology-co-ltd-globalnet/89907,34
UI/UX Design Specialist,KBZ Bank,"IT Hardware, Software",Yangon,Benefits: International Standard,Highlights:International Standard,Career Opportunities: International Standard,06 Feb 2024,https://www.jobnet.com.mm/job/ui-ux-design-specialist-kbz-bank/79703,34
Junior IT Operations And Support,KBZ Bank,"IT Hardware, Software",Yangon,Benefits: International Standard,Highlights:International Standard,Career Opportunities: Management Potential,06 Feb 2024,https://www.jobnet.com.mm/job/junior-it-operations-and-support-kbz-bank/92256,34
Market Research Analyst,Mottama Trading,"Marketing, Media, Creative",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,06 Feb 2024,https://www.jobnet.com.mm/job/market-research-analyst-mottama-trading/81911,34
Head Of Sales,Joy Detox & Healthy Meal,"Sales, Business Development",Mandalay,Benefits: Meal or Travel allowance,Highlights:Fun Working environment,Career Opportunities: Training provided,05 Feb 2024,https://www.jobnet.com.mm/job/head-of-sales-joy-detox-and-healthy-meal/95601,34
Mechanical Maintenance Technician,Dauntless Discovery International,"Engineering, Technical, HSE",Yangon,Benefits: -Bonus rewarded based on performance -Strong job security -Job-related travel allowance -Travel opportunities,Highlights:-Fun working environment -International standards -Make a difference,Career Opportunities: -Training provided -Learn new skills on the job -Promotion opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/mechanical-maintenance-technician-dauntless-discovery-international/95600,34
Insurance အရောင်းဝန်ထမ်း,"Excellent Fortune Insurance Co.,Ltd","Customer Service, Support",Yangon,Benefits: - ရက်မှန်ကြေး - ဝန်ထမ်း အသက်အာမခံ - ရှားပါးစရိတ်,Highlights:- ရင်းနှီးပျူငှာသော အလုပ်ပတ်ဝန်းကျင်,Career Opportunities: - Trainingပေးပါသည် - ရောင်းရသည့် အပေါ်တွင် Incentive ပေးပါသည်.,05 Feb 2024,https://www.jobnet.com.mm/job/insurance-အရောင်းဝန်ထမ်း-excellent-fortune-insurance-co-ltd/95599,34
B2B Senior Solution Architect (ICT Products),Ooredoo Myanmar,"Sales, Business Development",Yangon,Benefits: Meal Allowance  Ooredoo Myanmar Family Mobile Plan  Medical & Life Insurance Travel Allowances  Annual Bonus,Highlights:An Awesome Company with 5 star office facilities  You can make a difference through our CSR Program,Career Opportunities: Ongoing Training and Development Learning new skills,05 Feb 2024,https://www.jobnet.com.mm/job/b2b-senior-solution-architect-ict-products-ooredoo-myanmar/95598,34
IT Support Specialist (Tachileik),Tumil Holdings Limited,"IT Hardware, Software",Shan State,Benefits: Competitive salary and benefits package. Opportunity to work in a fast-paced and dynamic environment.,Highlights:Be part of a supportive and collaborative team.,Career Opportunities: Professional development and training opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/it-support-specialist-tachileik-tumil-holdings-limited/95597,34
Procurement Manager,"Future Creator Group of Construction Co., Ltd","Procurement, Supply Chain",Yangon,Benefits: Bonus  Leave benefit.  Travelling Allowance,Highlights:Join a winning team,Career Opportunities: Learn new skills and techniques,05 Feb 2024,https://www.jobnet.com.mm/job/procurement-manager-future-creator-group-of-construction-co-ltd/95596,34
Assistant Marketing Manager,Myanmar Oasis Manufacturing,"Marketing, Media, Creative",Yangon,Benefits: •	Bonus  •	Ferry Arrange  •	Phone Bill  •	Rewards,Highlights:•	Happy Working Environment,Career Opportunities: •	Training Provided  •	Learn new skills on the job  •	Promotion opportunity •	Management potential,05 Feb 2024,https://www.jobnet.com.mm/job/assistant-marketing-manager-myanmar-oasis-manufacturing/95592,34
Legal & Government Affairs Executive,Tumil Holdings Limited,"Legal, Risk and Compliance",Yangon,"Benefits: Ferry (Sat, Sun & public holiday)",Highlights:Join an experienced team,Career Opportunities: Learn new skills on the job,05 Feb 2024,https://www.jobnet.com.mm/job/legal-and-government-affairs-executive-tumil-holdings-limited/95588,34
Health Coach,Mega Lifesciences Ltd,"Medical, Nursing, Pharmacy",Yangon,Benefits: - Yearly Increment - Yearly Bonus - Ferry provided,Highlights:- International Standard - Multinational company,Career Opportunities: - Training provided if required,05 Feb 2024,https://www.jobnet.com.mm/job/health-coach-mega-lifesciences-ltd/95586,34
HR Executive,Parami Hospital,"HR, Training and Recruitment",Yangon,Benefits: Monthly KPI target achievement allowance Annual leave refund if entitled Leave benefits according to the labor law Medical benefits upon permanent,Highlights:International Standards,Career Opportunities: Training provided  Career development based on performance,05 Feb 2024,https://www.jobnet.com.mm/job/hr-executive-parami-hospital/95584,34
Sales And Marketing Manager,"City Global Mark Services Co., Ltd","Sales, Business Development",Yangon,Benefits: * Salary + Commission + Attendance Bonus * Uniform * KPI Bonus * Yearly Bonus,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,05 Feb 2024,https://www.jobnet.com.mm/job/sales-and-marketing-manager-city-global-mark-services-co-ltd/95581,34
Quality Executive,Leading FMCG Company,Quality Assurance,Yangon,Benefits: *Bonus *Competitive Salary *Medical Benefit *Life Insurance,Highlights:*International Standard *Join an experienced team *Make it Difference,Career Opportunities: *Free Digital Learning Platforms *Learn new skill on job *Promotion potential,05 Feb 2024,https://www.jobnet.com.mm/job/quality-executive-leading-fmcg-company/95580,34
Senior Lab Technician,Unilever Myanmar,"Science, Laboratory",Yangon,Benefits: *Bonus *Competitive Salary *Medical Benefit *Life Insurance,Highlights:*International Standard *Join an experienced team *Make it Difference,Career Opportunities: *Free Digital Learning Platforms *Learn new skill on job *Promotion potential,05 Feb 2024,https://www.jobnet.com.mm/job/senior-lab-technician-unilever-myanmar/95578,34
EAP Teacher,Acumen International College,"Education, Teaching, Childcare",Yangon,Benefits: . Life insurance. . Yearly bonus over performance. . Annual trip plan (conditional).,Highlights:. Fun working environment. . International standard. . One of the leading education industry.,Career Opportunities: . Training provided. . Annual & bi-annual performance appraisal. .,05 Feb 2024,https://www.jobnet.com.mm/job/eap-teacher-acumen-international-college/95575,34
Senior Graphic Designer,"Golden Harvest Co.,Ltd","Marketing, Media, Creative",Yangon,Benefits: * Duty Meal * Attendance Bonus * Based on performance salary increment * Annual bonus,Highlights:* International Standard,Career Opportunities: * Promotion Opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/senior-graphic-designer-golden-harvest-co-ltd/88795,34
HSE & ISO Supervisor,"TOA Coating (Myanmar) Co., Ltd.","Engineering, Technical, HSE",Yangon,Benefits: Meal Allowances  Transport provided Life and Health Insurance,Highlights:International Standards,Career Opportunities: Training Provided,05 Feb 2024,https://www.jobnet.com.mm/job/hse-and-iso-supervisor-toa-coating-myanmar-co-ltd/89465,34
Head Of Internal Audit,KBZMS,"Finance, Accounting, Audit",Yangon,Benefits: * Overtime payments * Rewards for over performance,Highlights:* Fun Working environment * International Standards * Make a difference * Join an experienced team,Career Opportunities: * Training provided * Learn new skills on the job * Promotion opportunities * Management potential,05 Feb 2024,https://www.jobnet.com.mm/job/head-of-internal-audit-kbzms/95574,34
Project Deputy Manager,MPT - Myanma Posts & Telecommunications,"IT Hardware, Software",Yangon,Benefits: Ferry Transport *Health Insurance *Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,05 Feb 2024,https://www.jobnet.com.mm/job/project-deputy-manager-mpt-myanma-posts-and-telecommunications/95573,34
Assistant Manager - Valuation (Treasury & FI),Yoma Bank,"Finance, Accounting, Audit",Yangon,Benefits: •	Ferry Provided •	Mobile Phone Allowance •	Life Insurance •	Limited Medical Cover,Highlights:•	Empowered Working Environment •	Diverse Team,Career Opportunities: •	Learning and Development Platform •	Opportunities to Explore Multiple Career Paths,05 Feb 2024,https://www.jobnet.com.mm/job/assistant-manager-valuation-treasury-and-fi-yoma-bank/95570,34
Group HR Manager,Myanmar Thiha Group of Companies,"HR, Training and Recruitment",Yangon,Benefits: - Meal + Transportation Allowance,"Highlights:- Fun Working Environment - Join an experienced team - Office Hour: 8:45 AM ~ 5:00 PM - OFF Day: Sat, Sun & Public Holidays",Career Opportunities: - Learn new skills on the job - Promotion Opportunities - Management Potential,05 Feb 2024,https://www.jobnet.com.mm/job/group-hr-manager-myanmar-thiha-group-of-companies/95567,34
HR Manager (Garment Industry),"Future Creator Group of Construction Co., Ltd","HR, Training and Recruitment",Yangon,"Benefits: Incentive  Ferry Provide  Leave  Travelling Benefit  Monday to Staturday (Half Day), Office hour (8) hour per day",Highlights:An awesome company,Career Opportunities: Possibility for job training,05 Feb 2024,https://www.jobnet.com.mm/job/hr-manager-garment-industry-future-creator-group-of-construction-co-ltd/95566,34
Social Media Monitor,MARGA GROUP,"Marketing, Media, Creative",Yangon,Benefits: Overtime payments Medical benefits upon permanent,Highlights:International standard,Career Opportunities: Learn new skill on the job,05 Feb 2024,https://www.jobnet.com.mm/job/social-media-monitor-marga-group/95565,35
Foreign Remittance Support - Trade,KBZ Bank,"Customer Service, Support",Yangon,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Opportunities for promotion,05 Feb 2024,https://www.jobnet.com.mm/job/foreign-remittance-support-trade-kbz-bank/95564,35
Trade Product Support,KBZ Bank,"Customer Service, Support",Yangon,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Learn new skills and techniques,05 Feb 2024,https://www.jobnet.com.mm/job/trade-product-support-kbz-bank/95562,35
Admin Executive,"United Tyre Group Co., Ltd.",Administrative,Yangon,"Benefits: Yearly Bonus, Rewards for over performance, ferry (nearby), uniform.","Highlights:working day - Mon to Sat, working hour - 9:00 am to 5:00 pm, off day- Sunday and public holiday.",Career Opportunities: Training Provided learn new skills on the job. promotion opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/admin-executive-united-tyre-group-co-ltd/95561,35
Checker - KBZPay Operation,KBZ Bank,"Customer Service, Support",Yangon,Benefits: Bonus,Highlights:International Standards,Career Opportunities: Learn new skills on job,05 Feb 2024,https://www.jobnet.com.mm/job/checker-kbzpay-operation-kbz-bank/95560,35
Import Executive,"United Tyre Group Co., Ltd.","Logistics, Warehousing, Port",Yangon,"Benefits: Yearly Bonus, Rewards for over performance, ferry (nearby), uniform.","Highlights:working day - Mon to Sat, working hour - 9:00 am to 5:00 pm, off day- Sunday and public holiday.",Career Opportunities: Training Provided learn new skills on the job. promotion opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/import-executive-united-tyre-group-co-ltd/95559,35
Trade Credit Control And Data Analysis Executive,KBZ Bank,"Project, Operations Management",Yangon,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Learn new skills and techniques,05 Feb 2024,https://www.jobnet.com.mm/job/trade-credit-control-and-data-analysis-executive-kbz-bank/95557,35
General Dentist - Female,Aung Dana Thukha,"Medical, Nursing, Pharmacy",Yangon,Benefits: -% of Sales,Highlights:-,Career Opportunities: -,05 Feb 2024,https://www.jobnet.com.mm/job/general-dentist-female-aung-dana-thukha/92280,35
Agriculture Assistant Manager (တောင်လေးလုံး),Win Brothers Group of Companies Limited,"Manufacturing, Factory",Shan State,Benefits: Yearly Bonus & Salary Increment,Highlights:Make a difference,Career Opportunities: Management  Potential,05 Feb 2024,https://www.jobnet.com.mm/job/agriculture-assistant-manager-တောင်လေးလုံး-win-brothers-group-of-companies-limited/94345,35
Sales Representative,Tumil Holdings Limited,"Sales, Business Development",Taninthayi  Division,Benefits: incentive,Highlights:-,Career Opportunities: -,05 Feb 2024,https://www.jobnet.com.mm/job/sales-representative-tumil-holdings-limited/93909,35
Head Of Sales And Marketing,City Academy International Co. Ltd.,"Sales, Business Development",Yangon,Benefits: Commision  Travel allowance Performance Bonus,Highlights:International Standard,Career Opportunities: Management potential  Internatioanl exposure,05 Feb 2024,https://www.jobnet.com.mm/job/head-of-sales-and-marketing-city-academy-international-co-ltd/87875,35
Assistant Sales Manager (Wheat Flour),Capital Diamond Star Group (CDSG),"Sales, Business Development",Yangon,Benefits: Benefit will be provided according to company policy.,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,05 Feb 2024,https://www.jobnet.com.mm/job/assistant-sales-manager-wheat-flour-capital-diamond-star-group-cdsg/91970,35
Field Supervisor,AP Towers,"Engineering, Technical, HSE",Taninthayi  Division,Benefits: *Rewards over performance,Highlights:*Join an experience team,Career Opportunities: *Learn new skill on job *Promotion opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/field-supervisor-ap-towers/92104,35
Field Team Leader,AP Towers,"Engineering, Technical, HSE",Mon State,Benefits: *Reward Performance Bonus,Highlights:*Join an experience team,Career Opportunities: *Learn new skill on job *Promotion opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/field-team-leader-ap-towers/92103,35
NOC Operator (Outsourcing),AP Towers,"Engineering, Technical, HSE",Yangon,Benefits: * Overtime Payment,Highlights:* Join an experienced team,Career Opportunities: * Learn new skills on job,05 Feb 2024,https://www.jobnet.com.mm/job/noc-operator-outsourcing-ap-towers/91854,35
Radiographer,Pun Hlaing Hospitals,"Medical, Nursing, Pharmacy",Mandalay,Benefits: •Attractive salary with additional allowances  •Bonus and entitlement dependent on role and performance at management discretion,Highlights:•	Medical Benefits are available as per group policy. •	Family discount on medical expenses. •	Leave benefits.,Career Opportunities: •Continuous Professional development and Career development opportunity. •Opportunity to continue a master's degree of your choice.,05 Feb 2024,https://www.jobnet.com.mm/job/radiographer-pun-hlaing-hospitals/94091,35
"Assistant Manager, Brand & Propositions Marketing",AIA Myanmar,"Marketing, Media, Creative",Yangon,Benefits: -	Health Benefits -	Performance Rewards -	Opportunity to own global shares through Employee Share Purchase Plan,Highlights:-	Dynamic and progressive culture -	Flexible and supportive work environment -	Fun and Smart colleagues who will have your back and challenge you,Career Opportunities: -	Learning & Development opportunities  -	Challenging Assignments and Projects -	Exposure to cross-country collaboration,05 Feb 2024,https://www.jobnet.com.mm/job/assistant-manager-brand-and-propositions-marketing-aia-myanmar/91291,35
Assistant Manager -Business Process Analyst,Yoma Bank,"Project, Operations Management",Yangon,Benefits: •	Ferry Provided •	Mobile Phone Allowance •	Life Insurance •	Limited Medical Cover,Highlights:•	Empowered Working Environment •	Diverse Team,Career Opportunities: •	Learning and Development Platform •	Opportunities to Explore Multiple Career Paths,05 Feb 2024,https://www.jobnet.com.mm/job/assistant-manager-business-process-analyst-yoma-bank/95551,35
"Manager, Agency Management (Ygn)",Manulife Myanmar,"Sales, Business Development",Yangon,Benefits: - Sales Incentive & Commission  - Transportation Allowance - Mobile Benefit - Medical Benefit,Highlights:- International Standards - Diversity & Inclusion - Active & warm working culture - Join an experienced team,Career Opportunities: - International Training - Career Development - Multi cultural explorer,05 Feb 2024,https://www.jobnet.com.mm/job/manager-agency-management-ygn-manulife-myanmar/81343,35
Distribution Training Specialist (Yangon),Manulife Myanmar,"HR, Training and Recruitment",Yangon,Benefits: - Performance Bonus - Transportation Allowance - Mobile Benefit - Medical Benefit,Highlights:- International Standards - Diversity & Inclusion - Active & warm working culture - Join an experienced team,Career Opportunities: - International Training  - Career Development - Multi cultural explorer,05 Feb 2024,https://www.jobnet.com.mm/job/distribution-training-specialist-yangon-manulife-myanmar/95550,35
Security Admin Manager,ATALIAN Global Services,"Project, Operations Management",Yangon,Benefits: Rewards for over performance Travel allowances.,Highlights:International Standard,Career Opportunities: Training Provided Promotion opportunities,05 Feb 2024,https://www.jobnet.com.mm/job/security-admin-manager-atalian-global-services/95549,35
Snr Civil Engineer (Quantity Surveyors Cum Site),Synergy Plus,"Engineering, Technical, HSE",Yangon,Benefits: -  Uniform & OT,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,05 Feb 2024,https://www.jobnet.com.mm/job/snr-civil-engineer-quantity-surveyors-cum-site-synergy-plus/84142,35
Receptionist,The Grand Family Dentistry & Dental Implant Center,"Customer Service, Support",Yangon,Benefits: Salary will be increased working after 3 months  Sending to travel once a year  Dental health support Provide Lunch & Ferry,Highlights:You can make a difference,Career Opportunities: Opportunities for promotion,05 Feb 2024,https://www.jobnet.com.mm/job/receptionist-the-grand-family-dentistry-and-dental-implant-center/94347,35
Content Writer,Industry Leading Company,"Marketing, Media, Creative",Yangon,Benefits: Bonus + Commission  Overtime Payment  Rewards for over Performance,Highlights:Remote work position. ( work from home ) Please bring your laptop and showcase your proficiency in an editing app such as Canva during the interview.,Career Opportunities: Opportunities for promotion,05 Feb 2024,https://www.jobnet.com.mm/job/content-writer/94468,35
Chief Accountant,"United Tyre Group Co., Ltd.","Finance, Accounting, Audit",Yangon,"Benefits: Bonus, Uniform, Ferry, SSB (2%).","Highlights:Working Day: Mon to Sat, Working time: 9:00AM to 5:00PM, Off Day: Sun and Public holidays, Fun work environment, Make a diffference.","Career Opportunities: Management potential, Learn new Skills on the Job.",05 Feb 2024,https://www.jobnet.com.mm/job/chief-accountant-united-tyre-group-co-ltd/89863,35
